waveform_id,exam_id,waveform_type,number_of_leads,Waveform_Start_Time,Sample_Type,Sample_Base,Sample_Exponent,High_Pass_Filter,Low_Pass_Filter,AC_Filter
1100370,551831,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1101173,551865,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1102405,550602,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1102542,550602,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1102730,551865,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1102876,551831,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1103120,551206,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103156,551415,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103440,550802,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1103551,553528,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103586,553008,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103987,553542,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1105205,552892,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1105672,553008,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1106009,553542,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1106212,552983,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1106447,552983,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1106574,553651,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1106758,553651,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1107069,552892,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1107189,553528,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1107552,554010,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1107600,554321,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1107676,555907,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1107708,554003,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1108532,555075,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1108751,555907,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1108925,554010,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1109067,554080,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1109076,554080,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1109453,554280,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1110261,554321,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110315,554582,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110359,554003,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1110656,554280,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1110796,554582,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110992,555075,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1113760,556225,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1115380,556225,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
